conf/mobicom/
conf/sigcomm/
conf/infocom/
conf/sensys/
conf/conext/
conf/secon/
conf/ipsn/
conf/icnp/
conf/mobihoc/
conf/mobisys/
conf/iwqos/
conf/imc/
conf/nossdav/
conf/nsdi/
conf/ancs/
conf/forte/
conf/lcn/
conf/globecom/
conf/icc/
conf/icccn/
conf/mass/
conf/p2p/
conf/ipccc/
conf/wowmom/
conf/iscc/
conf/wcnc/
conf/im/
conf/mswim/
conf/apnoms/
conf/hotnets/
conf/wasa/
conf/ccs/
conf/crypto/
conf/eurocrypt/
conf/sp/
conf/uss/
conf/acsac/
conf/asiacrypt/
conf/esorics/
conf/fse/
conf/ndss/
conf/csfw/
conf/raid/
conf/pkc/
conf/dsn/
conf/tcc/
conf/srds/
conf/ches/
conf/wisec/
conf/ih/
conf/sacmat/
conf/ccs/
conf/drm/
conf/acns/
conf/acisp/
conf/dfrws/
conf/fc/
conf/dimva/
conf/sec/
conf/isw/
conf/icics/
conf/securecomm/
conf/nspw/
conf/ctrsa/
conf/soups/
conf/sacrypt/
conf/trustcom/
conf/pam/
conf/pet/
conf/icdf2c/
journals/ton/
journals/jsac/
journals/tmc/
journals/toit/
journals/tomccap/
journals/tosn/
journals/cn/
journals/tcom/
journals/twc/
journals/adhoc/
journals/comcom/ 
journals/tnsm/
journals/iet-com/
journals/jnca/
journals/monet/
journals/networks/
journals/ppna/
journals/wicomm/
journals/winet/
journals/tdsc/
journals/tifs/
journals/joc/
journals/tissec/
journals/compsec/
journals/dcc/
journals/jcs/
journals/ejisec/
journals/iet-ifs/
journals/imcs/
journals/istr/
journals/ijisp/
journals/ijics/
journals/scn/
